Temperatura,Umidade Relativa do Ar %,Temperatura de Orvalho,Numero de Luminuosidade
24,45,13,245
24,44,13,245
24,45,13,244
24,45,13,243
24,45,13,197
24,44,13,242
24,44,13,241
24,44,13,241
24,45,13,240
24,45,13,207
24,45,13,239
24,45,13,238
24,45,13,198
24,45,13,189
24,45,13,195
24,45,13,197
24,45,13,189
24,45,13,234
24,44,13,233
24,44,13,232
24,45,13,231
24,45,13,231
24,45,13,230
24,45,13,225
24,45,13,229
24,45,13,228
24,45,13,227
24,45,13,226
24,45,13,226
24,45,13,225
24,45,13,224
24,45,13,169
24,45,13,222
24,45,13,194
24,45,13,220
24,45,13,219
24,45,13,218
24,45,13,217
24,45,13,216
24,45,13,215
24,45,13,214
24,45,13,213
24,45,13,164
24,45,13,196
24,45,13,211
24,45,13,210
24,46,14,170
24,46,14,166
24,46,14,207
24,46,14,205
24,46,14,204
24,46,14,203
24,46,14,184
24,45,13,140
24,45,13,200
24,45,13,199
24,46,14,198
24,46,14,158
24,46,14,196
24,46,14,195
24,46,14,174
24,46,14,192
24,46,14,191
24,46,14,176
24,46,14,189
24,46,14,187
24,46,14,186
24,46,14,185
24,46,14,184
24,46,14,182
24,46,14,166
24,47,14,134
24,47,14,178
24,47,14,176
24,47,14,175
24,47,14,174
24,47,14,137
24,47,14,171
24,47,14,169
24,47,14,168
24,47,14,166
24,47,14,164
24,47,14,163
24,47,14,161
24,47,14,109
24,47,14,158
24,47,14,157
24,47,14,155
24,47,14,153
24,47,14,151
24,47,14,149
23,47,13,102
23,47,13,115
23,47,13,144
23,47,13,142
23,47,13,141
23,48,13,139
24,47,14,137
24,47,14,93
24,47,14,134
24,47,14,132
24,47,14,130
23,47,13,129
23,47,13,127
23,47,13,74
23,48,13,124
23,48,13,122
23,48,13,121
23,47,13,120
23,47,13,75
23,47,13,71
23,47,13,63
23,47,13,65
23,47,13,112
23,48,13,83
23,48,13,67
23,48,13,109
23,48,13,66
23,48,13,107
23,48,13,107
23,48,13,106
23,48,13,105
23,48,13,104
23,48,13,58
23,48,13,103
23,48,13,102
23,49,13,102
23,49,13,102
23,49,13,84
23,49,13,101
23,49,13,101
23,49,13,81
23,49,13,67
23,49,13,100
23,50,13,100
23,50,13,100
23,50,13,100
23,51,14,33
23,51,14,100
23,52,14,100
23,52,14,100
23,53,14,100
23,53,14,99
23,54,14,99
23,54,14,100
23,54,14,99
23,54,14,100
23,54,14,100
23,55,14,100
23,55,14,100
23,55,14,100
23,54,14,99
23,54,14,99
23,54,14,99
23,55,14,57
23,55,14,100
23,55,14,99
23,56,15,99
23,56,15,99
23,56,15,99
23,56,15,99
23,57,15,99
23,56,15,99
23,57,15,99
23,57,15,99
23,57,15,99
23,57,15,76
23,58,15,68
23,58,15,99
23,58,15,56
23,58,15,99
23,58,15,99
22,58,14,33
22,59,14,99
22,59,14,99
22,59,14,99
22,59,14,99
22,59,14,99
22,59,14,98
22,59,14,99
22,59,14,99
23,59,15,99
22,59,14,99
23,59,15,98
23,59,15,99
23,59,15,98
23,59,15,98
23,59,15,51
23,59,15,100
